,strat_id,init_cash,macd.fast_period,macd.slow_period,macd.signal_period,macd.sma_period,macd.dir_period,rtot,ravg,rnorm,rnorm100,len,drawdown,moneydown,max,maxdrawdown,maxdrawdownperiod,sharperatio,pnl,final_value,total,win_rate,won,lost,won_avg,won_avg_prcnt,lost_avg,lost_avg_prcnt,won_max,won_max_prcnt,lost_max,lost_max_prcnt
0,0,1000000,8,16,9,30,10,-0.213330842,-5.15E-05,-0.012885948,-1.28859477,3420,49.88636453,804224.9434,"AutoOrderedDict([('len', 3420), ('drawdown', 59.556489828117336), ('moneydown', 960118.36328125)])",59.55648983,3420,-0.036588735,-192111.19,807888.8096,38,0.605263158,23,14,53948.83581,5.394883581,-95207.8644,-9.52078644,355908.4961,35.59084961,-488033.4668,-48.80334668
1,6,1000000,12,16,9,30,10,-0.214999959,-5.19E-05,-0.012986111,-1.298611085,3457,44.596295,649212.2051,"AutoOrderedDict([('len', 3457), ('drawdown', 56.94491676896744), ('moneydown', 828977.720703125)])",56.94491677,3457,-0.061960277,-193458.53,806541.4736,38,0.552631579,21,16,54886.68569,5.488668569,-81017.85083,-8.101785083,295310.75,29.531075,-426813.5703,-42.68135703
2,3,1000000,8,26,9,30,10,-0.219516563,-5.30E-05,-0.0132571,-1.325709985,3420,44.01212312,631165.8437,"AutoOrderedDict([('len', 3420), ('drawdown', 56.97768297638936), ('moneydown', 817101.3984374999)])",56.97768298,3420,-0.054498548,-197093.14,802906.8594,38,0.552631579,21,16,56536.44657,5.653644657,-80254.06757,-8.025406757,330408.9902,33.04089902,-423880.6094,-42.38806094
3,1,1000000,8,16,18,30,10,-0.231612738,-5.59E-05,-0.013982485,-1.398248458,3420,41.54623224,563807.6973,"AutoOrderedDict([('len', 3420), ('drawdown', 56.830473057123726), ('moneydown', 771224.162109375)])",56.83047306,3420,-0.077971067,-206746.74,793253.2607,38,0.526315789,20,17,54507.77979,5.450777979,-73855.45674,-7.385545674,282035.1016,28.20351016,-401935.1123,-40.19351123
4,9,1000000,12,26,9,30,10,-0.293557959,-7.08E-05,-0.017688873,-1.76888729,3420,45.58990976,624739.0957,"AutoOrderedDict([('len', 3420), ('drawdown', 56.88488903789871), ('moneydown', 779519.291015625)])",56.88488904,3420,-0.101785877,-254393.99,745606.0068,38,0.526315789,20,17,53513.13916,5.351313916,-75688.17343,-7.568817343,288444.9902,28.84449902,-397144.8379,-39.71448379
5,2,1000000,8,16,26,30,10,-0.397191227,-9.58E-05,-0.023858471,-2.385847055,3420,50.39841063,683004.0674,"AutoOrderedDict([('len', 3420), ('drawdown', 58.660392912631394), ('moneydown', 794971.2392578125)])",58.66039291,3420,-0.155061976,-327794.53,672205.4697,38,0.5,19,18,50352.13379,5.035213379,-69289.15202,-6.928915202,282035.1016,28.20351016,-415449.0664,-41.54490664
6,7,1000000,12,16,18,30,10,-0.436902442,-0.000105405,-0.026212315,-2.621231535,3420,53.08085745,730875.7344,"AutoOrderedDict([('len', 3420), ('drawdown', 60.47266042656807), ('moneydown', 832654.22265625)])",60.47266043,3420,-0.164672221,-353965.55,646034.4541,38,0.5,19,18,51045.29215,5.104529215,-71583.54617,-7.158354617,288444.9902,28.84449902,-416011.916,-41.6011916
7,11,1000000,12,26,26,30,10,-0.441946497,-0.000106622,-0.02651089,-2.651089039,3447,55.0318695,786637.252,"AutoOrderedDict([('len', 3447), ('drawdown', 61.07817270684287), ('moneydown', 873064.396484375)])",61.07817271,3447,-0.164837752,-357215.97,642784.0254,38,0.473684211,18,19,50387.86502,5.038786502,-64181.90975,-6.418190975,263718.0176,26.37180176,-424818.1133,-42.48181133
8,8,1000000,12,16,26,30,10,-0.526724728,-0.000127075,-0.031515529,-3.151552892,3420,60.28426435,896370.8223,"AutoOrderedDict([('len', 3420), ('drawdown', 63.62165173778661), ('moneydown', 945994.662109375)])",63.62165174,3420,-0.18928274,-409464.03,590535.9717,38,0.526315789,20,17,49815.12114,4.981512114,-80344.64327,-8.034464327,332764.7813,33.27647813,-451087.9883,-45.10879883
9,10,1000000,12,26,18,30,10,-0.539985881,-0.000130274,-0.032296032,-3.229603248,3447,61.78003623,941987.1953,"AutoOrderedDict([('len', 3447), ('drawdown', 64.97603845457826), ('moneydown', 990718.037109375)])",64.97603845,3447,-0.19642935,-417243.52,582756.4805,38,0.526315789,20,17,50036.24414,5.003624414,-81062.4051,-8.10624051,312779.5313,31.27795313,-450433.8125,-45.04338125
10,4,1000000,8,26,18,30,10,-0.578977014,-0.000139681,-0.034587268,-3.458726804,3420,58.64737787,794875.3408,"AutoOrderedDict([('len', 3420), ('drawdown', 63.102020540550214), ('moneydown', 855251.1962890625)])",63.10202054,3420,-0.218781578,-439528.57,560471.4277,38,0.473684211,18,19,48631.14589,4.863114589,-67568.71603,-6.756871603,282035.1016,28.20351016,-420377.0313,-42.03770313
11,5,1000000,8,26,26,30,10,-0.580912966,-0.000140148,-0.034700889,-3.470088889,3447,63.31269049,965356.2441,"AutoOrderedDict([('len', 3447), ('drawdown', 66.53046993572416), ('moneydown', 1014419.1328125)])",66.53046994,3447,-0.218003651,-440612.57,559387.4316,38,0.526315789,20,17,48420.93408,4.842093408,-80638.75551,-8.063875551,312779.5313,31.27795313,-467399.0234,-46.73990234
